,player_id,pretty_name,date_of_birth,position,foot,height_in_cm,market_value_in_gbp,highest_market_value_in_gbp
2342,203361,Manuel Arteaga,1994-06-17,Attack,Left,182,,720000.0
2343,61883,Andrew Hogg,1985-03-02,Goalkeeper,Right,183,,450000.0
2344,250781,Roberto Pirrello,1996-05-30,Defender,Right,191,,315000.0
2345,96761,Konstantinos Dafkos,1988-06-10,Goalkeeper,Right,185,,180000.0
2346,280416,Housem Ferchichi,1996-03-26,Midfield,Right,184,,68000.0
2347,27488,Braulio Nobrega,1985-09-18,Attack,Right,178,,1440000.0
2348,120518,Ilya Aleksievich,1991-02-10,Midfield,Right,172,,990000.0
2349,15153,Dimitrios Salpingidis,1981-08-18,Attack,Right,171,,5850000.0
2350,202221,Diego Bejarano,1991-08-24,Defender,Right,174,,630000.0
2351,3900,Henri Camara,1977-05-10,Attack,Both,178,,5850000.0
2352,342345,Panagiotis Konstantinopoulos,1995-09-05,Defender,Left,176,,158000.0
2353,53155,Sebastian Rusculleda,1985-04-28,Midfield,Left,175,,1440000.0
2354,139887,Manolis Stefanakos,1989-08-17,Goalkeeper,Right,200,,315000.0
2355,203647,Nikolaos Milios,1995-08-01,Attack,Left,180,,135000.0
2356,38449,Wouter Corstjens,1987-02-13,Defender,Left,187,,675000.0
2357,32591,Krzysztof Krol,1987-02-06,Defender,Left,184,,293000.0
2358,342347,Anastasios Zarkadas,1994-11-04,Midfield,Right,179,,90000.0
2359,416003,Antonis Karageorgis,1997-05-16,Defender,,184,,135000.0
2360,1896,Ahmet Cebe,1983-05-02,Defender,Right,181,,945000.0
2361,19442,Andrea Lazzari,1984-12-03,Midfield,Left,184,,4950000.0
2362,369672,Asger Bust,1996-09-24,Midfield,,180,,225000.0
2363,75213,Sergey Veremko,1982-10-16,Goalkeeper,Left,190,,1350000.0
2364,47074,Vladan Milosavljev,1987-02-01,Attack,Left,172,,405000.0
2365,21829,Francesco Benussi,1981-10-15,Goalkeeper,Right,189,,1170000.0
2366,208604,Ramazan Ovuc,1994-03-16,Midfield,Right,182,,270000.0
2367,357187,Alexandros Athanasopoulos,1996-12-03,Goalkeeper,Right,190,,68000.0
2368,21042,Michal Kadlec,1984-12-13,Defender,Left,185,,6750000.0
2369,17140,Mehmet Topuz,1983-09-07,Midfield,Right,181,,7650000.0
2370,241701,Devrim Taskaya,1997-01-07,Attack,Right,175,,113000.0
2371,206837,Pantelis Theologou,1991-05-07,Defender,Left,189,,225000.0
2372,130452,Fernando Godoy,1990-05-01,Midfield,Right,172,,720000.0
2373,148371,Casper Radza,1994-02-26,Goalkeeper,Right,186,,135000.0
2374,25750,Vladimer Dvalishvili,1986-04-20,Attack,Left,182,,1260000.0
2375,288430,Magnus Pedersen,1996-11-23,Defender,Right,188,,90000.0
2376,96331,Mikkel Kirkeskov,1991-09-05,Defender,Left,185,,900000.0
2377,204145,Anders Thomsen,1995-07-29,Midfield,,185,,45000.0
2378,49521,Francesco Bolzoni,1989-05-07,Midfield,Right,183,,2700000.0
2379,44720,Matti Lund Nielsen,1988-05-08,Midfield,Right,184,,900000.0
2380,29073,Fernando Usero,1984-03-27,Midfield,Right,178,,1350000.0
2381,290550,Dimitrios Katsimitros,1997-06-12,Goalkeeper,,187,,360000.0
2382,66109,Fabio Daprela,1991-02-19,Defender,Left,183,,1350000.0
2383,16433,Manolis Kallergis,1990-12-05,Midfield,Both,182,,225000.0
2384,87245,Borislav Stoychev,1986-11-26,Defender,Right,187,,405000.0
2385,67955,Marcelinho,1987-06-22,Attack,Left,173,,1130000.0
2386,56796,Pape Mbow,1988-05-22,Defender,Right,191,,540000.0
2387,338055,Veysel Sapan,1996-01-11,Goalkeeper,Right,197,,90000.0
2388,4248,Diego,1985-02-28,Midfield,Right,173,,26100000.0
2389,286168,Mehdi Akgul,1996-02-06,Defender,Right,186,,45000.0
